Dataset	TF	Top_Method	Top_ROC_AUC	Top_MWU_Adjusted_P_Value	Top_MWU_Significant_FDR_BH	Top_N_Cells	Top_N_Pos	Top_N_Control	Second_Method	Second_ROC_AUC	Second_MWU_Adjusted_P_Value	Second_MWU_Significant_FDR_BH	AUC_Diff	DeLong_Z	DeLong_P_Value	DeLong_P_Value_FDR_BH	DeLong_Significant_FDR_BH
GasperiniShendure2019_lowMOI	BTF3	zscore	0.7000903342366758	0.04095105386694521	True	384	15	369	z-aggregate	0.6794941282746161	0.08184343795999875	True	0.020596205962059688	0.9422807855722237	0.3460489028478466	0.6920978056956932	False
NadigOConner2024_hepg2	RUVBL2	ulm	0.9467103742461493	1.4607466079916252e-15	True	4952	29	4923	zscore	0.9467103742461493	1.4607466079916252e-15	True	0.0	0.0	1.0	1.0	False
NadigOConner2024_hepg2	RUVBL1	ulm	0.8734285778770848	1.7365828300088603e-16	True	4968	45	4923	zscore	0.8728598189902272	1.451838710670095e-16	True	0.0005687588868575899	0.3849984092601492	0.7002385940932883	0.8735763333563774	False
NadigOConner2024_hepg2	MYC	zscore	0.857556368068251	2.902090974456631e-17	True	4975	52	4923	ulm	0.8462749417959655	1.7365828300088603e-16	True	0.011281426272285455	1.3093951121223033	0.1904005463244398	0.3808010926488796	False
NadigOConner2024_hepg2	POLR2A	z-aggregate	0.7856997765590088	1.3456403026713227e-05	True	4945	22	4923	ulm	0.7324247964101712	0.0004944929817484189	True	0.05327498014883758	2.035645743131553	0.04178594095879057	0.1291534521750435	False
NadigOConner2024_hepg2	KAT5	viper	0.755433678651229	0.04615166157184085	True	4929	6	4923	z-aggregate	0.7496783803913603	0.049289171648715054	True	0.005755298259868757	0.11463614910247867	0.9087335257367606	0.9655293710953081	False
NadigOConner2024_hepg2	TRRAP	z-aggregate	0.7496743974859902	0.0009289851276037142	True	4940	17	4923	ulm	0.7455640391439938	0.0013042431061899536	True	0.004110358341996356	0.23542336640274183	0.8138801518941515	0.9223975054800384	False
NadigOConner2024_hepg2	SUPT5H	z-aggregate	0.7475116798699979	0.0009816956460125146	True	4940	17	4923	ulm	0.6163506231255451	0.12493977353296956	False	0.13116105674445278	5.1709167982591095	2.329482759073131e-07	3.960120690424323e-06	True
NadigOConner2024_hepg2	POLR2G	z-aggregate	0.7358095927280114	1.4066682437255663e-05	True	4955	32	4923	ulm	0.7107899146861669	0.0001234910644057434	True	0.025019678041844462	1.4017031672299547	0.16100390446160817	0.35188506950273907	False
NadigOConner2024_hepg2	MAX	ulm	0.7330760376464215	7.88174482432503e-07	True	4968	45	4923	z-aggregate	0.7271898345633871	6.059863723615837e-07	True	0.005886203083034336	0.3592396677192672	0.719415803940546	0.8735763333563774	False
NadigOConner2024_hepg2	POLR2H	z-aggregate	0.7209141998904339	3.503297730245915e-05	True	4956	33	4923	ulm	0.6669128826350033	0.002209225873085163	True	0.05400131725543067	3.1970107962678047	0.001388597291462779	0.009442461581946896	True
NadigOConner2024_hepg2	POLR2C	z-aggregate	0.7159147422023296	8.236306178923073e-08	True	4981	58	4923	ulm	0.6909720033341038	3.09013436749622e-06	True	0.024942738868225844	1.9015456945003872	0.057230573271279186	0.1389885350873923	False
NadigOConner2024_hepg2	SUPT4H1	z-aggregate	0.7063056788833754	0.08258454355760486	True	4930	7	4923	ulm	0.685151330489539	0.11957459341500479	False	0.021154348393836342	0.5549115396487047	0.5789551684175518	0.7989195921921421	False
NadigOConner2024_hepg2	GTF2H1	z-aggregate	0.7031862104988248	1.770886001681173e-05	True	4965	42	4923	ulm	0.6558380004449474	0.0013109156193988705	True	0.04734821005387735	2.8356209048361922	0.004573669967911247	0.022214968415568914	True
NadigOConner2024_hepg2	POLR2F	z-aggregate	0.7012138836821223	5.969947240434987e-09	True	5002	79	4923	ulm	0.6714234656751955	1.2330197852503467e-06	True	0.029790418006926833	2.5445462873797156	0.010941980863271762	0.04650341866890499	True
NadigOConner2024_hepg2	POLR2I	z-aggregate	0.6949870104878284	1.6456223226952084e-13	True	5056	133	4923	ulm	0.6309542900517595	1.5722511829415916e-06	True	0.06403272043606889	7.060795808994993	1.6555171664336947e-12	5.628758365874562e-11	True
NadigOConner2024_hepg2	SRF	ulm	0.6847214545866814	0.0001020738503466821	True	4966	43	4923	zscore	0.6820949600593323	0.0001234910644057434	True	0.002626494527349088	0.6059492352790543	0.5445484636578704	0.7989195921921421	False
NadigOConner2024_hepg2	POLR2K	z-aggregate	0.6789815912302201	2.9094711202228124e-08	True	5014	91	4923	ulm	0.6374965680267326	3.0331664428289404e-05	True	0.04148502320348746	3.8800930879663396	0.00010441649484010605	0.0008875402061409015	True
